,ID,ID2,NAMAD,DESC,UN1,VOLUME,UN2,UN3,CAT,UN4,TYPE
140,11518268622170640,IRO9MKBT0221,ضمخا3017,اختيارخ اخابر-3600-1398/03/29,61107,0,1,10,64,1000,311
141,11560002870991149,IRO7PGIP0001,وپسا,س. پتروشيمي ساختمان  خليج فارس,123029,979734,1,440,45,2500000000,309
142,11622051128546106,IRO1PAKS0001,شپاكسا,پاكسان‌,122939,2899512,432000,776,44,1080000000,300
143,11640540339380126,IRO1PABD0001,شپترو,پتروشيمي‌ آبادان‌,122954,32902817,1408000,2097,44,3520000000,300
144,11711516773416287,IRO2X27T8061,جفلز806,آتي ش فلزات اساسي-1398/06/23,102843,3,1,38,27,600,263
145,11773403764702778,IRO1BIME0001,وبيمه,سرمايه‌ گذاري‌ صنعت‌ بيمه‌,122958,28554201,300000,1788,56,750000000,300
146,11927496285559135,IRB3SA1000C1,اروند10,منفعت صبا اروند لوتوس 14001222,61025,0,1,75,69,5000000,306
147,11964419322927535,IRO1SROD0001,سرود,سيمان‌شاهرود,122906,2172626,324000,520,53,810000000,300
148,12133995575626103,IRO9MSMI0921,ضملي2017,اختيارخ فملي -2800-1398/02/25,122112,50,1,22,27,1000,311
149,12303918642491681,IRO7ZNJP0001,زنجان,صنايع كشاورزي وكود زنجان,123030,7443321,1,982,44,3500000000,309
150,12329519546621752,IRO1CHDN0001,چدن,توليدي چدن سازان,122949,9330809,400000,900,28,1000000000,300
151,12329915567896606,IRO3JPRZ0001,چكاپا,گروه  صنايع كاغذ پارس,122959,74039829,1,2625,21,2355596000,303
152,12387472624849835,IRO1DOSE0001,داسوه,داروسازي‌ اسوه‌,122957,463074,300000,689,43,750000000,300
153,12390706505809150,IRTKKIAN0001,گوهر,صندوق سكه طلاي كيان,144725,1098623,1,247,68,99000000,380
154,12638840758449459,IRO3PKSH0001,پخش,پخش البرز,121155,1717565,1,989,43,600000000,303
155,12698487783816443,IRO9GOLG0831,ضگل2016,اختيارخ كگل-5868-1398/02/29,61105,0,1,21,13,1278,311
156,12746730665870442,IRO3BHPZ0001,بهپاك,صنعتي بهپاك,123000,3420237,1,798,42,500000000,303
157,12752224677923341,IRO1RIIR0001,خريخت,صنايع‌ريخته‌گري‌ايران‌,122950,51890380,504873,1939,34,1262183447,300
158,12901875871456398,IRO7RAZP0001,ولراز,ليزينگ رازي,123102,537851,1,571,65,22000000,309
159,12965822877128721,IRO7QAZP0001,ثقزوي,شركت عمران و سازندگي قزوين,61047,0,1,895,70,80000000,309
160,13010835010902276,IRR1MNSR0101,خنصيرح,ح . مهندسي‌نصيرماشين‌,61120,0,1,72,34,40000000,400
